area_code,year,urban_green_availability
ITD55,2015,21.2
ITD55,2016,21.2
ITD55,2017,21.4
ITD55,2018,21.4
ITD55,2019,21.9
ITD55,2020,21.9
ITD55,2021,22.2
ITD55,2022,22.4
ITD55,2023,22.1
ITD56,2011,56.9
ITD56,2012,57.3
ITD56,2013,58.3
ITD56,2014,58.5
ITD56,2015,59.7
ITD56,2016,60.0
ITD56,2017,61.3
ITD56,2018,61.3
ITD56,2019,62.2
ITD56,2020,62.6
ITD56,2021,63.4
ITD56,2022,63.8
ITD56,2023,64.1
ITD57,2011,44.0
ITD57,2012,43.6
ITD57,2013,43.3
ITD57,2014,44.3
ITD57,2015,44.3
ITD57,2016,44.2
ITD57,2017,44.1
ITD57,2018,44.1
ITD57,2019,45.6
ITD57,2020,46.4
ITD57,2021,47.0
ITD57,2022,48.1
ITD57,2023,48.3
ITD58,2011,20.6
ITD58,2012,21.2
ITD58,2013,21.8
ITD58,2014,22.6
ITD58,2015,23.1
ITD58,2016,23.3
ITD58,2017,23.5
ITD58,2018,23.5
ITD58,2019,23.9
ITD58,2020,24.5
ITD58,2021,25.0
ITD58,2022,25.3
ITD58,2023,25.7
ITD59,2011,19.7
ITD59,2012,19.6
ITD59,2013,20.1
ITD59,2014,20.7
ITD59,2015,20.7
ITD59,2016,20.6
ITD59,2017,20.5
ITD59,2018,20.5
ITD59,2019,20.3
ITD59,2020,20.4
ITD59,2021,21.2
ITD59,2022,21.4
ITD59,2023,21.5
ITDA,2011,327.9
ITDA,2012,325.9
ITDA,2013,323.0
ITDA,2014,321.3
ITDA,2015,320.4
ITDA,2016,319.3
ITDA,2017,317.8
ITDA,2018,316.2
ITDA,2019,316.2
ITDA,2020,315.3
ITDA,2021,318.2
ITDA,2022,319.4
ITDA,2023,319.2
ITE,2011,27.3
ITE,2012,27.2
ITE,2014,26.9
ITE,2015,26.8
ITE,2016,26.8
ITE,2017,26.8
ITE,2018,26.9
ITE,2019,26.9
ITE,2020,27.3
ITE,2021,27.6
ITE,2022,27.8
ITE,2023,27.9
ITE1,2011,24.0
ITE1,2012,23.9
ITE1,2013,23.7
ITE1,2014,23.7
ITE1,2015,23.7
ITE1,2016,23.8
ITE1,2017,23.9
ITE1,2018,24.0
ITE1,2019,24.0
ITE1,2020,24.3
ITE1,2021,24.5
ITE1,2022,25.0
ITE1,2023,25.1
ITE11,2011,16.7
ITE11,2012,16.7
ITE11,2013,16.8
ITE11,2014,16.9
ITE11,2015,17.0
ITE11,2016,17.1
ITE11,2017,17.2
ITE11,2018,17.2
ITE11,2019,17.3
ITE11,2020,17.5
ITE11,2021,17.6
ITE11,2022,17.7
ITE11,2023,17.8
ITE12,2011,17.6
ITE12,2012,17.5
ITE12,2013,17.4
ITE12,2014,17.4
ITE12,2015,17.4
ITE12,2016,17.6
ITE12,2017,17.5
ITE12,2018,17.5
ITE12,2019,17.5
ITE12,2020,17.6
ITE12,2021,17.8
ITE12,2022,17.9
ITE12,2023,18.0
ITE13,2011,19.8
ITE13,2012,19.8
ITE13,2013,19.8
ITE13,2014,19.8
ITE13,2015,19.8
ITE13,2016,20.1
ITE13,2017,20.7
ITE13,2018,20.7
ITE13,2019,21.1
ITE13,2020,21.2
ITE13,2021,21.4
ITE13,2022,21.4
ITE13,2023,21.5
ITE14,2011,24.9
ITE14,2012,24.7
ITE14,2013,24.4
ITE14,2014,24.2
ITE14,2015,24.2
ITE14,2016,24.1
ITE14,2017,24.2
ITE14,2018,24.2
ITE14,2019,25.0
ITE14,2020,25.0
ITE14,2021,25.4
ITE14,2022,26.6
ITE14,2023,26.7
ITE15,2011,28.5
ITE15,2012,28.3
ITE15,2013,28.0
ITE15,2014,27.9
ITE15,2015,27.9
ITE15,2016,27.8
ITE15,2017,27.7
ITE15,2018,27.7
ITE15,2019,27.9
ITE15,2020,27.3
ITE15,2021,27.5
ITE15,2022,27.8
ITE15,2023,27.7
ITE16,2011,14.4
ITE16,2012,14.4
ITE16,2013,14.5
ITE16,2014,14.5
ITE16,2015,14.6
ITE16,2016,14.6
ITE16,2017,14.7
ITE16,2018,14.7
ITE16,2019,14.8
ITE16,2020,14.9
ITE16,2021,15.0
ITE16,2022,15.2
ITE16,2023,15.2
ITE17,2011,22.5
ITE17,2012,22.4
ITE17,2013,22.2
ITE17,2014,22.1
ITE17,2015,22.2
ITE17,2016,22.0
ITE17,2017,22.2
ITE17,2018,22.2
ITE17,2019,22.4
ITE17,2020,22.8
ITE17,2021,22.9
ITE17,2022,23.1
ITE17,2023,23.3
ITE18,2011,28.7
ITE18,2012,28.6
ITE18,2013,28.6
ITE18,2014,28.7
ITE18,2015,28.8
ITE18,2016,29.1
ITE18,2017,29.1
ITE18,2018,29.1
ITE18,2019,29.3
ITE18,2020,29.5
ITE18,2021,29.9
ITE18,2022,30.0
ITE18,2023,30.1
ITE19,2011,33.3
ITE19,2012,33.3
ITE19,2013,33.3
ITE19,2014,33.3
ITE19,2015,33.6
ITE19,2016,33.6
ITE19,2017,33.6
ITE19,2018,33.6
ITE19,2019,33.5
ITE19,2020,33.6
ITE19,2021,34.0
ITE19,2022,34.3
ITE19,2023,34.4
ITE1A,2011,36.0
ITE1A,2012,35.8
ITE1A,2013,35.7
ITE1A,2014,35.7
ITE1A,2015,35.7
ITE1A,2016,36.6
ITE1A,2017,36.7
ITE1A,2018,36.7
ITE1A,2019,36.6
ITE1A,2020,36.7
ITE1A,2021,36.8
ITE1A,2022,36.8
ITE1A,2023,37.9
ITE2,2012,98.1
ITE2,2013,97.7
ITE2,2014,97.9
ITE2,2015,98.1
ITE2,2016,98.1
ITE2,2017,98.1
ITE2,2018,98.3
ITE2,2019,98.3
ITE2,2020,98.8
ITE2,2021,99.8
ITE2,2022,100.5
ITE2,2023,100.7
ITE21,2011,62.9
ITE21,2012,62.5
ITE21,2013,62.3
ITE21,2014,62.5
ITE21,2015,62.6
ITE21,2016,62.5
ITE21,2017,62.5
ITE21,2018,62.5
ITE21,2019,62.6
ITE21,2020,62.6
ITE21,2021,63.1
ITE21,2022,63.5
ITE21,2023,63.6
ITE22,2011,151.5
ITE22,2012,151.0
ITE22,2013,150.3
ITE22,2014,150.2
ITE22,2015,150.6
ITE22,2016,150.9
ITE22,2017,151.1
ITE22,2018,151.1
ITE22,2019,151.9
ITE22,2020,153.7
ITE22,2021,155.7
ITE22,2022,156.6
ITE22,2023,157.1
ITE3,2012,30.2
ITE3,2013,30.3
ITE3,2014,30.3
ITE3,2015,30.7
ITE3,2016,31.1
ITE3,2017,31.2
ITE3,2018,31.8
ITE3,2019,31.8
ITE3,2020,32.2
ITE3,2021,32.4
ITE3,2022,32.7
ITE3,2023,32.7
ITE31,2011,25.6
ITE31,2012,25.7
ITE31,2013,25.7
ITE31,2014,25.7
ITE31,2015,26.0
ITE31,2016,25.9
ITE31,2017,25.8
ITE31,2018,25.8
ITE31,2019,26.9
