area_code,year,public_transport_access_value
047014,2003,56.882484343
047014,2004,56.078068775
047014,2005,57.30638944
047014,2006,58.030511246
047014,2007,57.795057181
047014,2008,56.488294314
047014,2009,54.816270562
047014,2010,51.508853604
047014,2011,47.897823884
047014,2012,46.016384538
048017,2001,214.64040251
048017,2002,226.06829461
048017,2003,219.34493105
048017,2004,222.67372756
048017,2005,229.96353543
048017,2006,234.39996616
048017,2007,248.20029671
048017,2008,241.39304927
048017,2009,231.68427358
048017,2010,239.99740605
048017,2011,246.42579261
048017,2012,245.03916051
049009,2001,66.795551581
049009,2002,69.861058668
049009,2003,67.354956133
049009,2004,62.244682011
049009,2005,62.258309112
049009,2006,63.133106567
049009,2007,63.107596492
049009,2008,72.263417421
049009,2009,72.14832353
049009,2010,74.370947548
049009,2011,71.682741975
049009,2012,66.955748208
050026,2001,71.331465652
050026,2002,86.257653604
050026,2003,84.135047653
050026,2004,87.10410429
050026,2005,87.722884725
050026,2006,88.128848562
050026,2007,99.938726543
050026,2008,102.40250716
050026,2009,111.79491872
050026,2010,107.43665211
050026,2011,99.768864255
050026,2012,95.678977369
051002,2001,59.794588769
051002,2002,58.777463563
051002,2003,55.479485156
051002,2004,62.401171614
051002,2005,61.926025781
051002,2006,51.506682995
051002,2007,48.576127771
051002,2008,48.247155863
051002,2009,45.791286544
051002,2010,43.572090229
051002,2011,43.184952479
051002,2012,38.914018172
052032,2001,271.14967462
052032,2002,258.16004024
052032,2003,240.7951841
052032,2004,238.82132491
052032,2005,239.79014221
052032,2006,246.87835785
052032,2007,245.61240598
052032,2008,249.90744169
052032,2009,250.89110552
052032,2010,250.1904421
052032,2011,251.91133601
052032,2012,252.45261933
053011,2001,20.870581524
053011,2002,21.302273365
053011,2003,20.270503042
053011,2004,20.157090929
053011,2005,16.393442623
053011,2006,17.339386292
053011,2007,18.573156605
053011,2008,17.633574326
053011,2009,17.423012065
053011,2010,17.212762034
053011,2011,17.053517593
053011,2012,16.940846195
054039,2001,140.92162064
054039,2002,142.79765335
054039,2003,141.0660365
054039,2004,138.27442501
054039,2005,135.63176624
054039,2006,133.13786982
054039,2007,132.66878004
054039,2008,148.18535498
054039,2009,147.99592616
054039,2010,146.53143629
054039,2011,139.26158587
054039,2012,129.40965094
055032,2001,45.985226423
055032,2002,45.618133303
055032,2003,34.042871223
055032,2004,41.425561862
055032,2005,37.626734014
055032,2006,40.877908699
055032,2007,41.540392029
055032,2008,41.398674166
055032,2009,40.559540124
055032,2010,39.93647676
055032,2011,39.975831029
055032,2012,42.096363684
056059,2001,45.967404931
056059,2002,44.344402573
056059,2003,44.122334625
056059,2004,43.589125975
056059,2005,43.297927826
056059,2006,36.864297963
056059,2007,38.493820252
056059,2008,34.005894355
056059,2009,30.338594684
056059,2010,42.243827576
056059,2011,37.618634056
056059,2012,35.477096427
057059,2001,97.636746921
057059,2002,102.99067327
057059,2003,102.34368129
057059,2004,104.96095298
057059,2005,101.72127306
057059,2006,105.93184329
057059,2007,126.14172729
057059,2008,100.91213486
057059,2009,102.26963137
057059,2010,82.11063901
057059,2011,79.856860345
057059,2012,65.748096657
058091,2001,457.30291071
058091,2002,475.12478156
058091,2003,483.1279098
058091,2004,468.27552319
058091,2005,470.35391205
058091,2006,481.45996406
058091,2007,518.59616534
058091,2008,537.1923981
058091,2009,533.8913046
058091,2010,529.59299203
058091,2011,528.1989418
058091,2012,438.17469801
059011,2001,7.4188894962
059011,2002,7.8098018539
059011,2003,7.9271940199
059011,2004,8.0010451816
059011,2005,7.8082965374
059011,2006,8.2024263676
059011,2007,8.7909981573
059011,2008,8.2101453325
059011,2009,8.194739588
059011,2010,8.3299778538
059011,2011,6.5028449947
059011,2012,7.3351857365
060038,2001,11.584815172
060038,2002,11.383636794
060038,2003,11.290588429
060038,2004,11.129477715
060038,2005,12.772991899
060038,2006,10.395246706
060038,2007,10.574331329
060038,2008,10.611398964
060038,2009,9.7539761431
060038,2010,16.417399956
060038,2011,19.519003427
060038,2012,13.598885269
061022,2001,45.92865633
061022,2002,45.517057213
061022,2003,43.692539759
061022,2004,43.811098559
061022,2005,43.569091367
061022,2006,44.585906971
061022,2007,45.1969531
061022,2008,45.703630413
061022,2009,35.18276514
061022,2010,35.243578501
061022,2011,29.717814172
061022,2012,29.856080671
062008,2001,31.999232018
062008,2002,32.44935872
062008,2003,32.485462755
062008,2004,40.089158288
062008,2005,39.64729764
062008,2006,39.687579375
062008,2007,39.750367691
062008,2008,39.893404822
062008,2009,38.596603755
062008,2010,37.841840102
062008,2011,38.435363127
062008,2012,33.626089659
063049,2001,227.10080158
063049,2002,251.4055061
063049,2003,250.36385499
063049,2004,246.77797169
063049,2005,247.96846338
063049,2006,247.68638667
063049,2007,241.58035509
063049,2008,228.3637956
063049,2009,216.87417374
063049,2010,217.350344
063049,2011,201.95656973
063049,2012,173.18606442
064008,2001,84.307759979
064008,2002,84.138098666
064008,2003,79.510648102
064008,2004,79.369978746
064008,2005,79.002115501
064008,2006,80.818018904
064008,2007,82.471332438
064008,2008,63.503201474
064008,2009,61.753532362
064008,2010,31.528298376
064008,2011,29.985087346
064008,2012,29.875298488
065116,2001,61.111369216
065116,2002,62.794348509
065116,2003,65.013155689
065116,2004,73.395572779
065116,2005,73.899452405
065116,2006,74.735622735
065116,2007,77.550572484
065116,2008,78.984164031
065116,2009,84.763002645
065116,2010,89.206846941
065116,2011,80.183482275
065116,2012,70.514998807
066049,2001,69.947420427
066049,2002,64.381762371
066049,2003,61.734310746
066049,2004,61.504474588
066049,2005,60.49030747
066049,2006,66.804890057
066049,2007,69.668167878
066049,2008,65.618601327
066049,2009,44.754399934
066049,2010,48.20704236
066049,2011,48.312846386
066049,2012,45.15753823
067041,2001,45.932977324
067041,2002,46.865501892
067041,2003,46.162300788
067041,2004,45.658547694
067041,2005,45.809632158
067041,2006,45.281382016
067041,2007,44.489289615
067041,2008,43.815700778
067041,2009,43.719721139
067041,2010,43.742781532
067041,2011,34.587903336
067041,2012,34.550794214
068028,2001,63.451228882
068028,2002,62.533094632
068028,2003,62.69610477
068028,2004,64.17068585
068028,2005,67.745700597
068028,2006,69.427711458
068028,2007,73.395543085
068028,2008,73.210420972
068028,2009,73.129500496
068028,2010,77.923449758
068028,2011,80.819578828
068028,2012,80.552405802
069022,2001,81.165319106
069022,2002,82.112950713
069022,2003,86.792634261
069022,2004,84.996434558
069022,2005,82.625717299
069022,2006,85.144715389
069022,2007,85.819845499
069022,2008,91.176095007
069022,2009,91.160879693
069022,2010,67.441473735
069022,2011,76.185872707
069022,2012,73.782422094
070006,2001,56.167562645
070006,2002,57.67209798
070006,2003,58.54609238
070006,2004,59.499138115
070006,2005,60.988637467
070006,2006,62.609170838
070006,2007,63.712046535
070006,2008,65.692078136
070006,2009,66.533599468
070006,2010,66.730780554
070006,2011,55.603617774
070006,2012,58.016170381
071024,2001,53.886458374
071024,2002,54.539944157
071024,2003,54.867930863
071024,2004,53.945447263
071024,2005,54.145186914
071024,2006,54.821455894
071024,2007,54.202307507
071024,2008,52.056027231
071024,2009,52.253770436
071024,2010,52.337867101
071024,2011,50.484520266
071024,2012,50.30674045
072006,2001,57.771108585
072006,2002,61.075860146
072006,2003,58.502878103
072006,2004,57.57954885
072006,2005,53.535925343
072006,2006,55.064136682
072006,2007,64.858554303
072006,2008,69.985758441
072006,2009,76.051726909
072006,2010,79.200780488
072006,2011,61.53509526
072006,2012,63.382638272
073027,2001,60.24164146
073027,2002,69.847584475
073027,2003,81.042728754
073027,2004,82.040874761
073027,2005,83.158091146
073027,2006,79.121515112
073027,2007,76.643873931
073027,2008,75.749516255
073027,2009,69.749481477
073027,2010,66.726242122
073027,2011,61.199395122
073027,2012,61.034075822
074001,2001,17.89541952
074001,2002,18.110205163
074001,2003,17.947978023
074001,2004,17.293847796
074001,2005,17.939834281
074001,2006,17.845578182
