area_code,year,healthcare_capacity
ITC3,2015,54.35
ITC3,2015,163995.0
ITC3,2015,4042.0
ITC3,2015,10964.0
ITC3,2015,179001.0
ITC3,2015,103.98
ITC3,2015,2.56
ITC3,2015,6.95
ITC3,2015,113.5
ITC3,2015,4130.0
ITC3,2015,252.0
ITC3,2015,648.0
ITC3,2015,5030.0
ITC3,2015,1322426.0
ITC3,2015,71040.0
ITC3,2015,208092.0
ITC3,2015,1601558.0
ITC3,2015,8.06
ITC3,2015,17.58
ITC3,2015,18.98
ITC3,2015,8.95
ITC3,2015,662.0
ITC3,2015,318496.0
ITC3,2016,2.63
ITC3,2016,0.15
ITC3,2016,0.43
ITC3,2016,3.22
ITC3,2016,0.43
ITC3,2016,83473.0
ITC3,2016,53.23
ITC3,2016,159414.0
ITC3,2016,3742.0
ITC3,2016,10252.0
ITC3,2016,173408.0
ITC3,2016,101.66
ITC3,2016,2.39
ITC3,2016,6.54
ITC3,2016,110.58
ITC3,2016,4130.0
ITC3,2016,236.0
ITC3,2016,676.0
ITC3,2016,5042.0
ITC3,2016,1304009.0
ITC3,2016,71621.0
ITC3,2016,202486.0
ITC3,2016,1578116.0
ITC3,2016,8.18
ITC3,2016,19.14
ITC3,2016,19.75
ITC3,2016,9.1
ITC3,2016,669.0
ITC3,2016,326219.0
ITC3,2017,2.63
ITC3,2017,0.14
ITC3,2017,0.43
ITC3,2017,3.2
ITC3,2017,0.42
ITC3,2017,66695.0
ITC3,2017,42.72
ITC3,2017,171297.0
ITC3,2017,4155.0
ITC3,2017,10064.0
ITC3,2017,185516.0
ITC3,2017,109.73
ITC3,2017,2.66
ITC3,2017,6.45
ITC3,2017,118.83
ITC3,2017,4100.0
ITC3,2017,226.0
ITC3,2017,668.0
ITC3,2017,4994.0
ITC3,2017,1310625.0
ITC3,2017,76099.0
ITC3,2017,206664.0
ITC3,2017,1593388.0
ITC3,2017,7.65
ITC3,2017,18.32
ITC3,2017,20.53
ITC3,2017,8.59
ITC3,2017,662.0
ITC3,2017,290023.0
ITC3,2018,2.63
ITC3,2018,0.18
ITC3,2018,0.42
ITC3,2018,3.23
ITC3,2018,0.42
ITC3,2018,64399.0
ITC3,2018,41.45
ITC3,2018,168515.0
ITC3,2018,4656.0
ITC3,2018,10181.0
ITC3,2018,183352.0
ITC3,2018,108.45
ITC3,2018,3.0
ITC3,2018,6.55
ITC3,2018,118.0
ITC3,2018,4090.0
ITC3,2018,272.0
ITC3,2018,656.0
ITC3,2018,5018.0
ITC3,2018,1298401.0
ITC3,2018,84366.0
ITC3,2018,206070.0
ITC3,2018,1588837.0
ITC3,2018,7.7
ITC3,2018,18.12
ITC3,2018,20.24
ITC3,2018,8.67
ITC3,2018,651.0
ITC3,2018,282013.0
ITC3,2019,2.69
ITC3,2019,0.17
ITC3,2019,0.42
ITC3,2019,3.28
ITC3,2019,0.44
ITC3,2019,65241.0
ITC3,2019,42.67
ITC3,2019,169476.0
ITC3,2019,4725.0
ITC3,2019,10188.0
ITC3,2019,184389.0
ITC3,2019,110.85
ITC3,2019,3.09
ITC3,2019,6.66
ITC3,2019,120.6
ITC3,2019,4114.0
ITC3,2019,257.0
ITC3,2019,641.0
ITC3,2019,5012.0
ITC3,2019,1309283.0
ITC3,2019,78521.0
ITC3,2019,207166.0
ITC3,2019,1594970.0
ITC3,2019,7.73
ITC3,2019,16.62
ITC3,2019,20.33
ITC3,2019,8.65
ITC3,2019,667.0
ITC3,2019,279656.0
ITC3,2020,2.7
ITC3,2020,0.18
ITC3,2020,0.44
ITC3,2020,3.31
ITC3,2020,0.43
ITC3,2020,48040.0
ITC3,2020,31.57
ITC3,2020,134946.0
ITC3,2020,3520.0
ITC3,2020,7414.0
ITC3,2020,145880.0
ITC3,2020,88.68
ITC3,2020,2.31
ITC3,2020,4.87
ITC3,2020,95.87
ITC3,2020,4102.0
ITC3,2020,274.0
ITC3,2020,662.0
ITC3,2020,5038.0
ITC3,2020,1162099.0
ITC3,2020,60905.0
ITC3,2020,172261.0
ITC3,2020,1395265.0
ITC3,2020,8.61
ITC3,2020,17.3
ITC3,2020,23.23
ITC3,2020,9.56
ITC3,2020,659.0
ITC3,2020,237613.0
ITC3,2021,2.9
ITC3,2021,0.09
ITC3,2021,0.4
ITC3,2021,3.39
ITC3,2021,0.39
ITC3,2021,58647.0
ITC3,2021,38.74
ITC3,2021,142351.0
ITC3,2021,2429.0
ITC3,2021,7911.0
ITC3,2021,152691.0
ITC3,2021,94.03
ITC3,2021,1.6
ITC3,2021,5.23
ITC3,2021,100.86
ITC3,2021,4393.0
ITC3,2021,141.0
ITC3,2021,605.0
ITC3,2021,5139.0
ITC3,2021,1181012.0
ITC3,2021,40972.0
ITC3,2021,177144.0
ITC3,2021,1399128.0
ITC3,2021,8.3
ITC3,2021,16.87
ITC3,2021,22.39
ITC3,2021,9.16
ITC3,2021,592.0
ITC3,2021,280613.0
ITC4,2014,2.84
ITC4,2014,0.08
ITC4,2014,0.63
ITC4,2014,3.55
