area_code,year,car_ownership_density
ITC3,2020,2573.0676291747063
ITF44,2020,3055.245987522027
ITD59,2020,2819.0732551432416
ITDA,2020,4251.305034435362
ITD56,2020,3095.822572485956
ITE16,2020,2927.0108385624644
ITD10,2020,3289.4428525048343
ITD2,2020,5284.765299158262
ITD20,2020,5284.765299158262
ITE12,2020,3140.0188537403196
ITF45,2020,3088.8412705008045
ITF5,2020,3079.639939558974
ITF42,2020,2736.0857008935996
ITF65,2020,3037.5587242088227
ITC16,2020,3121.0088642495034
ITC17,2020,3276.400208080458
ITC18,2020,3198.6874432811705
ITF61,2020,3199.2356425178687
ITD55,2020,2585.6335741268476
ITD5,2020,2804.42651892466
ITD51,2020,2873.2353568923986
ITE11,2020,2953.815840061515
ITD3,2020,2839.771901877317
ITD31,2020,2906.551383214879
ITD32,2020,2902.4201508936058
ITD58,2020,2861.539632323364
ITF62,2020,2637.7745529675085
ITF51,2020,3173.090689876041
ITF52,2020,2911.043639824172
ITG13,2020,3123.4726924775505
ITC14,2020,3066.6685816051013
ITC15,2020,3008.578897630064
ITG,2020,3026.491447219204
ITG1,2020,3118.8996815564997
ITG15,2020,2994.2263071748475
ITG16,2020,3061.409769606304
ITG12,2020,2864.5511525665397
ITD57,2020,3027.6501276501276
ITD33,2020,2895.523019634394
ITD34,2020,2905.8136324668344
ITD53,2020,2785.530960522471
ITD54,2020,2839.797150160954
ITG11,2020,3157.7992095540853
ITF63,2020,3033.851304725637
ITF64,2020,3054.704837993786
IT108,2020,2835.3688764703234
IT111,2020,2689.544118185256
ITC,2020,2784.2486989576123
ITC1,2020,3039.529593768504
ITG2,2020,2769.0718584361125
ITD43,2020,2958.183642424831
ITG27,2020,2781.3354197203184
ITD44,2020,2518.2108253239426
ITG28,2020,2822.0159364687574
ITD4,2020,2970.6434626677005
ITD41,2020,3048.2015599573533
IT110,2021,2697.7195593926763
ITC,2021,2761.5147262797454
ITG26,2021,2908.870058693202
ITC1,2021,2993.209658299191
ITG27,2021,2839.9449229625016
ITD44,2021,2502.117665177884
ITD4,2021,2949.622230572509
ITD41,2021,3013.8503386255134
IT111,2021,2787.900061427372
IT108,2021,2813.8397502601456
ITG28,2021,2898.762994048109
ITD51,2021,2853.540252182347
ITD52,2021,2766.9983108421657
ITD35,2021,2522.053861402843
ITF14,2021,3234.8751835535977
ITF,2021,2903.663044181107
ITF1,2021,3135.714659092889
ITF11,2021,3261.6617308819773
ITC43,2021,2801.827476038339
ITC47,2021,2730.531710613471
ITD37,2021,3145.609564876519
ITD42,2021,3122.386976445866
ITG16,2021,3166.574141709277
ITG11,2021,3215.738323022417
ITG12,2021,2934.428643713231
ITG13,2021,3215.1090178611735
ITC13,2021,3491.4431395948036
ITD36,2021,2806.6085351872066
ITD34,2021,2907.8650384860234
ITD53,2021,2765.018152733888
ITE34,2021,3191.7715137433693
ITC41,2021,2981.4879759519035
ITC42,2021,2906.504269753455
ITF12,2021,3171.0093896713615
ITF13,2021,2868.0159877540605
ITF31,2021,2835.425894419248
ITE42,2021,3256.29085439926
ITE43,2021,2740.379025460807
ITC46,2021,2613.411354656491
