area_code,year,youth_employment_rate
ITF21,2025.0,14.717535
ITF22,2018.0,14.074108
ITF22,2019.0,10.667539
ITF22,2020.0,10.215736
ITF22,2021.0,14.809549
ITF22,2022.0,14.341105
ITF22,2023.0,17.047505
ITF22,2024.0,11.799455
ITF22,2025.0,14.501495
ITF3,2018.0,10.426332
ITF3,2019.0,11.887447
ITF3,2020.0,10.267636
ITF3,2021.0,12.377907
ITF3,2022.0,12.303854
ITF3,2023.0,12.24668
ITF3,2024.0,12.128008
ITF3,2025.0,10.821838
ITF31,2018.0,10.388462
ITF31,2019.0,10.886487
ITF31,2020.0,9.273682
ITF31,2021.0,11.495778
ITF31,2022.0,9.217081
ITF31,2023.0,9.65405
ITF31,2024.0,8.882204
ITF31,2025.0,14.521037
ITF32,2018.0,9.694799
ITF32,2019.0,11.976346
ITF32,2020.0,9.32236
ITF32,2021.0,17.23408
ITF32,2022.0,9.159687
ITF32,2023.0,12.174143
ITF32,2024.0,8.749091
ITF32,2025.0,8.577843
ITF33,2018.0,9.437811
ITF33,2019.0,10.864967
ITF33,2020.0,9.570569
ITF33,2021.0,10.634615
ITF33,2022.0,12.449676
ITF33,2023.0,12.748736
ITF33,2024.0,13.725129
ITF33,2025.0,9.975053
ITF34,2018.0,14.884489
ITF34,2019.0,18.551984
ITF34,2020.0,17.81457
ITF34,2021.0,19.303404
ITF34,2022.0,16.300205
ITF34,2023.0,12.333079
ITF34,2024.0,10.100253
ITF34,2025.0,10.947279
ITF35,2018.0,12.127096
ITF35,2019.0,13.581026
ITF35,2020.0,11.011729
ITF35,2021.0,15.18258
ITF35,2022.0,14.054221
ITF35,2023.0,13.097893
ITF35,2024.0,11.642233
ITF35,2025.0,10.564234
ITF4,2018.0,12.950263
ITF4,2019.0,13.193515
ITF4,2020.0,13.722502
ITF4,2021.0,14.367469
ITF4,2022.0,16.398503
ITF4,2023.0,16.531838
ITF4,2024.0,16.297294
ITF4,2025.0,14.411316
ITF41,2018.0,10.995845
ITF41,2019.0,10.854493
ITF41,2020.0,17.096769
