area_code,year,green_urban_space_per_capita
028060,2021,33.6
028060,2022,45.1
028060,2022,33.9
028060,2023,44.9
028060,2023,33.9
029041,2011,35.3
029041,2011,25.2
029041,2012,35.2
029041,2012,25.0
029041,2013,35.2
029041,2013,25.1
029041,2014,35.1
029041,2014,25.2
029041,2015,35.5
029041,2015,25.2
029041,2016,35.7
029041,2016,25.4
029041,2017,35.9
029041,2017,25.7
029041,2018,36.1
029041,2018,25.7
029041,2019,36.5
029041,2019,25.8
029041,2020,36.8
029041,2020,25.9
029041,2021,37.5
029041,2021,26.1
029041,2022,37.9
029041,2022,26.0
029041,2023,38.0
029041,2023,26.1
030129,2011,21.6
030129,2011,19.3
030129,2012,21.5
030129,2012,19.3
030129,2013,21.4
030129,2013,19.2
030129,2014,21.4
030129,2014,19.3
030129,2015,21.5
030129,2015,19.3
030129,2016,21.5
030129,2016,19.3
030129,2017,21.4
030129,2017,19.2
030129,2018,21.4
030129,2018,19.2
030129,2019,21.4
030129,2019,19.2
030129,2020,21.7
030129,2020,19.5
030129,2021,22.1
030129,2021,19.7
030129,2022,22.1
030129,2022,19.8
030129,2023,22.1
030129,2023,19.8
031007,2011,133.3
031007,2011,131.5
031007,2012,133.6
031007,2012,131.8
031007,2013,134.2
031007,2013,132.4
031007,2014,135.0
031007,2014,134.2
031007,2015,136.1
031007,2015,134.2
031007,2016,136.9
031007,2016,135.0
031007,2017,137.9
031007,2017,136.0
031007,2018,138.7
031007,2018,136.8
031007,2019,139.6
031007,2019,137.6
031007,2020,139.2
031007,2020,137.3
031007,2021,139.1
031007,2021,137.2
031007,2022,140.2
031007,2022,138.2
031007,2023,140.2
031007,2023,138.2
032006,2011,61.3
032006,2011,17.6
032006,2012,61.5
032006,2012,17.7
032006,2013,61.5
032006,2013,17.7
032006,2014,61.6
032006,2014,17.8
032006,2015,61.7
032006,2015,17.8
032006,2016,61.8
032006,2016,17.8
032006,2017,61.7
032006,2017,17.8
032006,2018,61.6
032006,2018,17.7
032006,2019,61.7
032006,2019,17.7
032006,2020,62.0
032006,2020,17.8
032006,2021,62.4
032006,2021,17.9
032006,2022,62.7
032006,2022,18.0
032006,2023,62.7
032006,2023,18.0
033032,2011,26.4
033032,2011,22.0
033032,2012,26.3
033032,2012,22.4
033032,2013,26.2
033032,2013,21.9
033032,2014,28.1
033032,2014,24.2
033032,2015,28.2
033032,2015,24.2
033032,2016,28.2
033032,2016,24.2
033032,2017,28.1
033032,2017,22.6
033032,2018,27.9
033032,2018,24.0
033032,2019,27.8
033032,2019,23.9
033032,2020,27.9
033032,2020,23.2
033032,2021,28.2
033032,2021,24.2
033032,2022,28.4
033032,2022,24.5
033032,2023,28.4
033032,2023,24.4
034027,2011,95.0
034027,2011,37.6
034027,2012,93.9
034027,2012,36.9
034027,2013,92.4
034027,2013,36.5
034027,2014,91.0
034027,2014,35.2
034027,2015,89.7
034027,2015,35.2
034027,2016,88.5
034027,2016,34.7
034027,2017,87.5
034027,2017,34.6
034027,2018,86.7
034027,2018,34.1
034027,2019,86.1
034027,2019,33.8
034027,2020,86.6
034027,2020,34.3
034027,2021,88.6
034027,2021,35.3
034027,2022,88.4
034027,2022,35.3
034027,2023,87.8
034027,2023,35.0
035033,2011,59.2
035033,2011,45.7
035033,2012,58.6
035033,2012,43.9
035033,2013,57.9
035033,2013,44.7
035033,2014,57.8
035033,2014,43.6
035033,2015,58.0
035033,2015,43.6
035033,2016,57.8
035033,2016,43.4
035033,2017,57.7
035033,2017,45.0
035033,2018,57.5
035033,2018,43.2
035033,2019,57.4
035033,2019,43.1
035033,2020,57.5
035033,2020,44.9
035033,2021,57.9
035033,2021,43.5
035033,2022,57.9
035033,2022,43.6
035033,2023,57.7
035033,2023,43.4
036023,2011,76.6
036023,2011,44.2
036023,2012,76.3
036023,2012,39.3
036023,2013,75.9
036023,2013,44.0
036023,2014,75.5
036023,2014,38.8
036023,2015,75.3
036023,2015,38.8
036023,2016,75.1
036023,2016,38.7
036023,2017,74.8
036023,2017,44.4
036023,2018,74.2
036023,2018,38.2
036023,2019,73.8
036023,2019,38.0
036023,2020,74.3
036023,2020,44.5
036023,2021,75.2
036023,2021,38.8
036023,2022,75.5
036023,2022,38.9
036023,2023,75.6
036023,2023,39.0
037006,2011,20.4
037006,2011,19.9
037006,2012,20.5
037006,2012,20.0
037006,2013,20.3
037006,2013,19.8
037006,2014,21.1
037006,2014,20.7
037006,2015,21.2
037006,2015,20.7
037006,2016,21.2
037006,2016,20.7
037006,2017,21.4
037006,2017,20.9
037006,2018,21.9
037006,2018,21.4
037006,2019,21.9
037006,2019,21.4
037006,2020,21.9
037006,2020,21.4
037006,2021,22.2
037006,2021,21.7
037006,2022,22.4
037006,2022,21.9
037006,2023,22.1
037006,2023,21.4
038008,2011,56.9
038008,2011,37.6
038008,2012,57.3
038008,2012,35.7
038008,2013,58.3
038008,2013,38.2
038008,2014,58.5
038008,2014,38.0
038008,2015,59.7
038008,2015,38.0
038008,2016,60.0
038008,2016,38.3
038008,2017,61.3
038008,2017,41.0
038008,2018,62.0
038008,2018,39.0
038008,2019,62.2
038008,2019,39.2
038008,2020,62.6
038008,2020,41.8
038008,2021,63.4
038008,2021,39.9
038008,2022,63.8
038008,2022,40.2
038008,2023,64.1
038008,2023,40.3
039014,2011,44.0
039014,2011,38.0
039014,2012,43.6
039014,2012,36.6
039014,2013,43.3
039014,2013,37.4
039014,2014,44.3
039014,2014,37.2
039014,2015,44.3
039014,2015,37.2
039014,2016,44.2
039014,2016,37.2
039014,2017,44.1
039014,2017,38.3
039014,2018,44.6
039014,2018,37.5
039014,2019,45.6
039014,2019,38.3
039014,2020,46.4
039014,2020,39.9
039014,2021,47.0
039014,2021,39.2
039014,2022,48.1
039014,2022,39.6
039014,2023,48.3
039014,2023,39.7
040007,2019,39.4
040007,2019,35.9
040007,2020,39.7
040007,2020,36.6
040007,2021,40.2
040007,2021,36.5
040007,2022,40.8
040007,2022,37.1
040007,2023,41.8
040007,2023,37.8
040012,2011,20.6
040012,2011,18.2
040012,2012,21.2
040012,2012,19.2
040012,2013,21.8
040012,2013,19.4
040012,2014,22.6
040012,2014,21.0
040012,2015,23.1
040012,2015,21.0
040012,2016,23.3
040012,2016,21.3
040012,2017,23.5
040012,2017,21.5
040012,2018,23.5
040012,2018,21.5
040012,2019,23.9
040012,2019,21.9
040012,2020,24.5
040012,2020,22.5
040012,2021,25.0
040012,2021,22.4
040012,2022,25.3
040012,2022,22.7
040012,2023,25.7
040012,2023,23.1
041044,2011,25.6
041044,2011,18.9
041044,2012,25.7
041044,2012,23.5
041044,2013,21.1
041044,2013,18.9
041044,2014,25.7
041044,2014,23.8
041044,2015,26.0
041044,2015,23.8
041044,2016,25.9
041044,2016,23.8
041044,2017,25.8
041044,2017,19.1
041044,2018,27.0
041044,2018,24.9
041044,2019,26.9
041044,2019,24.8
041044,2020,26.8
041044,2020,19.1
041044,2021,26.7
041044,2021,24.6
041044,2022,26.7
041044,2022,24.7
041044,2023,26.8
041044,2023,24.7
042002,2011,50.1
042002,2011,34.0
042002,2012,50.2
042002,2012,27.4
042002,2013,50.3
042002,2013,34.2
042002,2014,50.5
042002,2014,28.1
042002,2015,51.3
042002,2015,28.1
042002,2016,51.5
042002,2016,28.3
042002,2017,52.0
042002,2017,35.5
042002,2018,52.0
042002,2018,28.7
042002,2019,52.5
042002,2019,29.2
042002,2020,52.5
042002,2020,36.0
042002,2021,52.7
042002,2021,29.3
042002,2022,53.4
042002,2022,29.4
042002,2023,53.2
042002,2023,29.2
043023,2011,17.6
043023,2011,15.3
043023,2012,17.6
043023,2012,15.3
043023,2013,17.8
043023,2013,15.4
043023,2014,17.8
043023,2014,16.1
043023,2015,18.4
043023,2015,16.1
043023,2016,18.5
043023,2016,16.2
043023,2017,18.7
043023,2017,16.3
043023,2018,19.7
043023,2018,16.5
043023,2019,20.1
043023,2019,16.9
043023,2020,20.2
043023,2020,16.9
043023,2021,20.8
043023,2021,17.0
043023,2022,21.0
043023,2022,17.2
043023,2023,21.0
043023,2023,17.1
044007,2011,13.2
044007,2011,7.5
044007,2012,13.3
044007,2012,13.2
044007,2013,7.8
044007,2013,7.6
044007,2014,13.5
044007,2014,13.5
044007,2015,13.6
044007,2015,13.5
044007,2016,15.1
044007,2016,15.0
044007,2017,15.2
044007,2017,9.3
044007,2018,15.4
044007,2018,15.2
044007,2019,15.6
044007,2019,15.4
044007,2020,15.8
044007,2020,9.6
044007,2021,16.0
044007,2021,15.9
044007,2022,16.2
044007,2022,16.1
044007,2023,16.3
044007,2023,16.2
045010,2011,16.7
045010,2011,16.2
045010,2012,16.7
045010,2012,16.7
045010,2013,16.8
045010,2013,16.8
045010,2014,16.9
045010,2014,17.0
045010,2015,17.0
045010,2015,17.0
045010,2016,17.1
045010,2016,17.1
045010,2017,17.2
045010,2017,17.1
045010,2018,17.2
045010,2018,17.2
045010,2019,17.3
045010,2019,17.3
045010,2020,17.5
045010,2020,17.4
045010,2021,17.6
045010,2021,17.6
045010,2022,17.7
045010,2022,17.7
045010,2023,17.8
045010,2023,17.8
046017,2011,17.6
046017,2011,16.2
046017,2012,17.5
046017,2012,16.1
046017,2013,17.1
046017,2013,16.0
046017,2014,17.4
046017,2014,16.0
046017,2015,17.4
046017,2015,16.0
046017,2016,17.6
046017,2016,16.2
046017,2017,17.5
046017,2017,16.2
046017,2018,17.5
046017,2018,16.1
046017,2019,17.5
046017,2019,16.1
046017,2020,17.6
046017,2020,16.2
046017,2021,17.8
046017,2021,16.3
