area_code,year,pm10_annual_avg
ITE11,2014,22.0
ITE11,2016,44.0
ITE11,2017,16.0
ITE11,2018,14.0
ITE11,2019,19.0
ITE11,2020,14.0
ITE11,2021,19.0
ITE11,2022,21.0
ITE11,2023,20.0
ITE12,2013,29.0
ITE12,2014,28.0
ITE12,2015,32.0
ITE12,2016,28.0
ITE12,2017,28.0
ITE12,2018,25.0
ITE12,2019,26.0
ITE12,2020,26.0
ITE12,2021,26.0
ITE12,2022,28.0
ITE12,2023,25.0
ITE13,2013,23.0
ITE13,2014,21.0
ITE13,2015,23.0
ITE13,2016,20.0
ITE13,2017,20.0
ITE13,2018,19.0
ITE13,2019,19.0
ITE13,2020,20.0
ITE13,2021,19.0
ITE13,2022,22.0
ITE13,2023,20.0
ITE14,2013,34.0
ITE14,2014,29.0
ITE14,2015,31.0
ITE14,2016,30.0
ITE14,2017,28.0
ITE14,2018,30.0
ITE14,2019,27.0
ITE14,2020,23.0
ITE14,2021,22.0
ITE14,2022,28.0
ITE14,2023,30.0
ITE15,2013,30.0
ITE15,2014,25.0
ITE15,2015,28.0
ITE15,2016,26.0
ITE15,2017,25.0
ITE15,2018,25.0
ITE15,2019,25.0
ITE15,2020,24.0
ITE15,2021,22.0
ITE15,2022,23.0
ITE15,2023,23.0
ITE16,2013,23.0
ITE16,2014,23.0
ITE16,2015,25.0
ITE16,2016,24.0
ITE16,2017,23.0
ITE16,2018,23.0
ITE16,2019,23.0
ITE16,2020,22.0
ITE16,2021,20.0
ITE16,2022,22.0
ITE16,2023,22.0
ITE17,2013,26.0
ITE17,2014,25.0
ITE17,2015,29.0
ITE17,2016,27.0
ITE17,2017,27.0
ITE17,2018,26.0
ITE17,2019,25.0
ITE17,2020,23.0
ITE17,2021,22.0
ITE17,2022,23.0
ITE17,2023,22.0
ITE18,2013,27.0
ITE18,2014,27.0
ITE18,2015,30.0
ITE18,2016,25.0
ITE18,2017,24.0
ITE18,2018,23.0
ITE18,2019,23.0
ITE18,2020,27.0
ITE18,2021,22.0
ITE18,2022,24.0
ITE18,2023,22.0
ITE19,2013,30.0
ITE19,2015,21.0
ITE19,2016,21.0
ITE19,2017,19.0
ITE19,2018,18.0
ITE19,2019,18.0
ITE19,2020,18.0
ITE19,2021,17.0
ITE19,2022,19.0
ITE19,2023,18.0
ITE1A,2013,17.0
ITE1A,2014,17.0
ITE1A,2015,17.0
ITE1A,2016,26.0
ITE1A,2017,24.0
ITE1A,2018,27.0
ITE1A,2019,24.0
ITE1A,2020,22.0
ITE1A,2021,23.0
ITE1A,2022,25.0
ITE1A,2023,24.0
ITE2,2013,2.0
ITE2,2014,2.0
ITE2,2015,2.0
ITE2,2016,2.0
ITE2,2017,2.0
ITE2,2018,2.0
ITE2,2019,2.0
ITE2,2020,2.0
ITE2,2021,1.0
ITE2,2022,2.0
ITE2,2023,2.0
ITE21,2013,23.0
ITE21,2014,23.0
ITE21,2015,28.0
ITE21,2016,25.0
ITE21,2017,25.0
ITE21,2018,25.0
ITE21,2019,24.0
ITE21,2020,21.0
ITE21,2021,19.0
ITE21,2022,23.0
ITE21,2023,21.0
ITE22,2013,36.0
ITE22,2014,32.0
ITE22,2015,36.0
ITE22,2016,35.0
ITE22,2017,35.0
ITE22,2018,35.0
ITE22,2019,30.0
ITE22,2020,32.0
ITE22,2021,32.0
ITE22,2022,34.0
ITE22,2023,31.0
ITE3,2013,1.0
ITE3,2014,3.0
ITE3,2015,3.0
ITE3,2016,2.0
ITE3,2017,2.0
ITE3,2018,2.0
ITE3,2019,3.0
ITE3,2020,3.0
ITE3,2021,3.0
ITE3,2022,3.0
ITE3,2023,2.0
ITE31,2014,27.0
ITE31,2015,34.0
ITE31,2016,31.0
ITE31,2017,31.0
ITE31,2018,26.0
ITE31,2019,33.0
ITE31,2020,23.0
ITE31,2021,31.0
ITE31,2022,29.0
ITE31,2023,25.0
