area_code,year,water_quality
073027,2018,556.7
073027,2018,107731.2
073027,2018,457.5
073027,2018,88531.9
073027,2018,99.2
073027,2018,19199.3
073027,2019,562.2
073027,2019,107890.4
073027,2019,472.1
073027,2019,90600.4
073027,2019,90.1
073027,2019,17290.0
073027,2020,530.1
073027,2020,101195.9
073027,2020,396.6
073027,2020,75702.4
073027,2020,133.6
073027,2020,25493.5
073027,2021,558.6
073027,2021,106192.1
073027,2021,419.3
073027,2021,79710.9
073027,2021,139.3
073027,2021,26481.3
073027,2022,549.0
073027,2022,103696.8
073027,2022,395.9
073027,2022,74771.9
073027,2022,153.1
073027,2022,28924.9
073027,2023,533.8
073027,2023,100171.3
073027,2023,403.8
073027,2023,75787.3
073027,2023,129.9
073027,2023,24383.9
074001,2010,527.3
074001,2010,47149.7
074001,2010,469.0
074001,2010,41932.0
074001,2010,58.4
074001,2010,5217.7
074001,2011,493.3
074001,2011,44228.6
074001,2011,362.7
074001,2011,32513.3
074001,2011,130.7
074001,2011,11715.3
074001,2012,494.5
074001,2012,44281.7
074001,2012,345.8
074001,2012,30968.4
074001,2012,148.7
074001,2012,13313.3
074001,2013,493.0
074001,2013,43945.1
074001,2013,346.4
074001,2013,30875.0
074001,2013,146.6
074001,2013,13070.0
074001,2014,491.5
074001,2014,43541.5
074001,2014,336.6
074001,2014,29817.4
074001,2014,154.9
074001,2014,13724.0
074001,2015,504.0
074001,2015,44350.4
074001,2015,365.3
074001,2015,32141.2
074001,2015,138.8
074001,2015,12209.3
074001,2016,508.3
074001,2016,44407.0
074001,2016,369.6
074001,2016,32286.7
074001,2016,138.7
074001,2016,12120.3
074001,2017,489.8
074001,2017,42382.3
074001,2017,355.6
074001,2017,30770.1
074001,2017,134.2
074001,2017,11612.2
074001,2018,495.6
074001,2018,42481.6
074001,2018,243.0
074001,2018,20826.1
074001,2018,252.7
074001,2018,21655.5
074001,2019,492.9
074001,2019,41862.4
074001,2019,255.7
074001,2019,21719.9
074001,2019,237.2
074001,2019,20142.5
074001,2020,494.8
074001,2020,41600.0
074001,2020,258.8
074001,2020,21761.4
074001,2020,236.0
074001,2020,19838.7
074001,2021,519.2
074001,2021,43357.4
074001,2021,286.7
074001,2021,23937.2
074001,2021,232.6
074001,2021,19420.2
074001,2022,541.8
074001,2022,45022.5
074001,2022,296.3
074001,2022,24624.2
074001,2022,245.5
074001,2022,20398.2
074001,2023,487.6
074001,2023,40270.3
074001,2023,294.9
074001,2023,24359.9
074001,2023,192.6
074001,2023,15910.4
075035,2010,671.2
075035,2010,62897.9
075035,2010,578.9
075035,2010,54248.8
075035,2010,92.3
075035,2010,8649.1
075035,2011,631.8
075035,2011,59801.2
075035,2011,535.3
075035,2011,50663.5
075035,2011,96.5
075035,2011,9137.7
075035,2012,617.4
075035,2012,58632.6
075035,2012,522.0
075035,2012,49579.4
075035,2012,95.3
075035,2012,9053.2
075035,2013,590.7
075035,2013,56056.1
075035,2013,492.7
075035,2013,46749.5
075035,2013,98.1
075035,2013,9306.6
075035,2014,601.1
075035,2014,57010.1
075035,2014,506.4
075035,2014,48030.6
