area_code,school_level,year,enrollment_count,enrollment_total
ITC33,PRI,2016,33563,87619
ITC33,UPP,2016,33343,87619
ITC33,LOW,2017,20461,87303
ITC33,PRI,2017,33210,87303
ITC33,UPP,2017,33632,87303
ITC33,LOW,2018,20675,86841
ITC33,PRI,2018,32584,86841
ITC33,UPP,2018,33582,86841
ITC33,LOW,2019,20559,86593
ITC33,PRI,2019,32293,86593
ITC33,UPP,2019,33741,86593
ITC33,LOW,2020,20872,86029
ITC33,PRI,2020,31449,86029
ITC33,UPP,2020,33708,86029
ITC33,LOW,2021,20660,85308
ITC33,PRI,2021,30555,85308
ITC33,UPP,2021,34093,85308
ITC33,LOW,2022,20636,84150
ITC33,PRI,2022,29976,84150
ITC33,UPP,2022,33538,84150
ITC33,LOW,2023,20220,83604
ITC33,PRI,2023,29785,83604
ITC33,UPP,2023,33599,83604
ITC33,LOW,2024,19924,82995
ITC33,PRI,2024,29196,82995
ITC33,UPP,2024,33875,82995
ITC34,LOW,2015,5427,22885
ITC34,PRI,2015,8728,22885
ITC34,UPP,2015,8730,22885
ITC34,LOW,2016,5430,22850
ITC34,PRI,2016,8709,22850
ITC34,UPP,2016,8711,22850
ITC34,LOW,2017,5418,22753
ITC34,PRI,2017,8740,22753
ITC34,UPP,2017,8595,22753
ITC34,LOW,2018,5499,22808
ITC34,PRI,2018,8681,22808
ITC34,UPP,2018,8628,22808
ITC34,LOW,2019,5500,22705
ITC34,PRI,2019,8603,22705
ITC34,UPP,2019,8602,22705
ITC34,LOW,2020,5591,22567
ITC34,PRI,2020,8484,22567
ITC34,UPP,2020,8492,22567
ITC34,LOW,2021,5449,22413
ITC34,PRI,2021,8248,22413
ITC34,UPP,2021,8716,22413
ITC34,LOW,2022,5431,22183
ITC34,PRI,2022,8130,22183
ITC34,UPP,2022,8622,22183
ITC34,LOW,2023,5395,22204
ITC34,PRI,2023,8102,22204
ITC34,UPP,2023,8707,22204
ITC34,LOW,2024,5426,22109
ITC34,PRI,2024,7934,22109
ITC34,UPP,2024,8749,22109
ITC4,LOW,2015,281825,1139859
