DATAFLOW,FREQ,REF_AREA,DATA_TYPE,CPA_ATECO2007_COE,PARTNER_COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,MOTE_CPA_ATECO2007_COE,NOTE_PARTNER_COUNTRY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-11,31521,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-12,32271,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-01,31677,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-02,31793,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-03,32449,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-04,32438,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-05,32902,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-06,32216,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-07,32958,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-08,33898,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-09,32558,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-10,32763,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-11,32844,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2012-12,32179,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-01,33168,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-02,32219,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-03,32638,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-04,32341,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-05,32337,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-06,32919,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-07,32639,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-08,32759,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-09,32959,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-10,32638,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-11,31838,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2013-12,33447,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-01,33161,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-02,32879,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-03,32837,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-04,32611,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-05,32951,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-06,33220,,,,,,,,,,
