DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2025,93319,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2019,30149,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2020,30096,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2021,30165,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2022,30209,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2023,30423,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2024,30492,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC2,JAN,1,TOTAL,1,2025,30522,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2019,30149,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2020,30096,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2021,30165,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2022,30209,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2023,30423,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2024,30492,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC20,JAN,1,TOTAL,1,2025,30522,,,FILTER__ITC2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2019,327459,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2020,328586,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2021,331604,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2022,333091,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2023,338276,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2024,343004,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC3,JAN,1,TOTAL,1,2025,347353,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2019,46004,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2020,46268,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2021,46536,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2022,47305,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2023,48107,,,FILTER__ITC3,,,,,,,
