DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,CITIZENSHIP,COUNTRY_BIRTH,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_COUNTRY_BIRTH,NOTE_EDU_LEV_HIGHEST,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,1,TOTAL,99,TOTAL,X1033,99,2020,18.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,1,TOTAL,99,TOTAL,X1033,99,2021,18.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,1,TOTAL,99,TOTAL,X1033,99,2022,18.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,1,TOTAL,99,TOTAL,X1033,99,2023,19.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,1,TOTAL,99,TOTAL,X1033,99,2024,19.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2011,21.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2012,21.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2013,22.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2014,22.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2015,21.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2016,22.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2017,22.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2018,22.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2019,22.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2020,21.7,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2021,22,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2022,21.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2023,22.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,2,TOTAL,99,TOTAL,X1033,99,2024,22.7,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP65,9,TOTAL,99,TOTAL,X1033,99,2011,20.1,,,,,,,,,,,,,
