area_code,year,museums_events
4124,2020,20.0
4124,2020,1.0
4125,2011,2.0
4125,2015,2.0
4125,2017,2.0
4125,2018,317.0
4125,2018,3.0
4125,2019,451.0
4125,2019,3.0
4125,2020,0.0
4125,2020,2.0
4128,2011,1.0
4130,2011,99658.0
4130,2011,4.0
4130,2015,15791.0
4130,2015,4.0
4130,2017,16485.0
4130,2017,4.0
4130,2018,19525.0
4130,2018,5.0
4130,2019,20140.0
4130,2019,4.0
4130,2020,9725.0
4130,2020,4.0
4131,2011,1.0
4132,2011,1.0
4132,2015,1.0
4132,2017,1.0
4132,2019,550.0
4132,2019,1.0
4132,2020,30.0
4132,2020,1.0
4139,2011,1.0
4139,2015,1.0
4139,2017,1.0
4141,2017,1.0
4142,2015,1.0
4142,2017,1.0
4142,2019,2000.0
4142,2019,1.0
4155,2011,1.0
4155,2015,1.0
4155,2017,1.0
4155,2018,1000.0
4155,2018,1.0
4155,2019,600.0
4155,2019,1.0
4156,2011,1.0
4156,2015,1.0
4156,2017,1.0
4156,2018,300.0
4156,2018,1.0
4156,2019,500.0
4156,2019,1.0
4156,2020,200.0
4156,2020,1.0
4159,2015,1.0
4159,2019,300.0
4159,2019,1.0
4166,2011,1.0
4166,2015,1.0
4166,2017,1.0
4166,2018,2300.0
4166,2018,1.0
4166,2019,2262.0
4166,2019,1.0
4166,2020,268.0
4166,2020,1.0
4172,2015,2.0
4172,2017,1.0
4172,2018,2000.0
4172,2018,1.0
4172,2019,2000.0
4172,2019,1.0
4172,2020,1500.0
4172,2020,1.0
4174,2011,1.0
4174,2015,1.0
4174,2017,1.0
4174,2018,600.0
4174,2018,1.0
4174,2019,600.0
4174,2019,1.0
4174,2020,300.0
4174,2020,1.0
4178,2015,1.0
4178,2017,1.0
4178,2018,50.0
4178,2018,1.0
4178,2019,300.0
4178,2019,1.0
4178,2020,100.0
4178,2020,1.0
4179,2011,2.0
4179,2015,2.0
4179,2017,1.0
4179,2018,96042.0
4179,2018,1.0
4179,2019,47842.0
4179,2019,1.0
4179,2020,15430.0
4179,2020,1.0
4180,2011,2.0
4180,2015,22818.0
4180,2015,3.0
4180,2017,23324.0
4180,2017,3.0
4180,2018,21308.0
4180,2018,2.0
4180,2019,21610.0
4180,2019,3.0
4180,2020,10390.0
4180,2020,2.0
4189,2011,1.0
4189,2015,1.0
4189,2017,1.0
4189,2018,1110.0
4189,2018,1.0
4189,2019,676.0
4189,2019,1.0
4189,2020,140.0
4189,2020,1.0
4192,2011,1.0
4192,2015,1.0
4192,2017,1.0
4192,2018,480.0
4192,2018,1.0
4192,2019,400.0
4192,2019,1.0
4192,2020,0.0
4192,2020,1.0
4194,2015,1.0
4194,2017,1.0
4194,2018,1185.0
4194,2018,1.0
4194,2019,1666.0
4194,2019,1.0
4194,2020,736.0
4194,2020,1.0
4196,2011,1.0
4196,2015,1.0
4196,2017,1.0
4196,2018,0.0
4196,2018,1.0
4196,2019,1.0
