area_code,year,tourism_support_level
ITD3,2024,3255817.606837607
ITD31,2008,584771.925925926
ITD31,2009,603317.4074074074
ITD31,2010,627279.2962962963
ITD31,2011,663591.4814814815
ITD31,2012,669869.0370370371
ITD31,2013,658895.1851851852
ITD31,2014,676475.4074074074
ITD31,2015,715714.5555555555
ITD31,2016,718624.6495726496
ITD31,2017,754274.0854700855
ITD31,2018,771609.641025641
ITD31,2019,791188.6495726496
ITD31,2020,323157.1623931624
ITD31,2021,551370.2222222222
ITD31,2022,751910.3247863248
ITD31,2023,830997.5042735043
ITD31,2024,866524.5811965812
ITD32,2008,99892.62962962964
ITD32,2009,91561.22222222222
ITD32,2010,91135.70370370371
ITD32,2011,94309.11111111111
ITD32,2012,93805.11111111111
ITD32,2013,92524.03703703704
ITD32,2014,88662.33333333333
ITD32,2015,91797.44444444444
ITD32,2016,86800.23931623931
ITD32,2017,95356.0
ITD32,2018,99261.57264957266
ITD32,2019,104482.42735042734
ITD32,2020,54499.48717948718
ITD32,2021,73396.2735042735
ITD32,2022,93367.7264957265
ITD32,2023,106599.07692307692
ITD32,2024,109609.53846153847
ITD33,2008,198791.92592592593
ITD33,2009,194887.2962962963
ITD33,2010,192035.4814814815
ITD33,2011,188566.22222222222
ITD33,2012,186050.0
ITD33,2013,179017.33333333334
ITD33,2014,166915.96296296295
ITD33,2015,175209.03703703705
ITD33,2016,168141.77777777778
ITD33,2017,163390.08547008547
ITD33,2018,160694.87179487178
ITD33,2019,163178.42735042734
ITD33,2020,118901.36752136752
ITD33,2021,122468.95726495727
ITD33,2022,149721.1965811966
ITD33,2023,171612.95726495725
ITD33,2024,177582.18803418803
ITD34,2008,81274.4074074074
ITD34,2009,72319.70370370371
ITD34,2010,78068.62962962964
ITD34,2011,84722.81481481482
ITD34,2012,88521.48148148147
ITD34,2013,87019.03703703704
ITD34,2014,90596.22222222222
ITD34,2015,95086.70370370371
ITD34,2016,91006.35897435897
ITD34,2017,102090.42735042734
ITD34,2018,107597.53846153847
ITD34,2019,110570.80341880342
ITD34,2020,43528.307692307695
ITD34,2021,63190.769230769234
ITD34,2022,80855.93162393162
ITD34,2023,102197.91452991453
ITD34,2024,106148.10256410256
ITD35,2008,1511415.3333333333
ITD35,2009,1511877.2962962964
ITD35,2010,1516570.148148148
ITD35,2011,1601222.148148148
ITD35,2012,1564616.8148148148
ITD35,2013,1562198.5925925926
ITD35,2014,1569440.5185185184
ITD35,2015,1586619.962962963
ITD35,2016,1477538.2222222222
ITD35,2017,1591226.9401709402
ITD35,2018,1583096.170940171
ITD35,2019,1638686.7692307692
ITD35,2020,703104.8205128205
ITD35,2021,1116131.076923077
ITD35,2022,1516464.4444444445
ITD35,2023,1660412.170940171
ITD35,2024,1692594.4615384615
ITD36,2008,213860.11111111112
ITD36,2009,206122.2962962963
