area_code,vocational_training_attendance,year,value
ITC47,0,2024,533476.4070569037
ITC47,1,2024,32145.594662411502
ITC47,9,2024,565622.0017193152
ITC48,0,2024,233263.61922663363
ITC48,1,2024,13703.380774150815
ITC48,9,2024,246967.00000078444
ITC49,0,2024,96680.23834364278
ITC49,1,2024,5746.761656419967
ITC49,9,2024,102427.00000006272
ITC4A,0,2024,151269.78911011954
ITC4A,1,2024,8260.210889880518
ITC4A,9,2024,159530.00000000006
ITC4B,0,2024,172765.99044901016
ITC4B,1,2024,10730.00955099672
ITC4B,9,2024,183496.00000000687
ITD,0,2024,4954469.953748167
ITD,1,2024,318228.04633210914
ITD,9,2024,5272698.000080275
ITD1,0,2024,217490.7851224321
ITD1,1,2024,17646.214877585648
ITD1,9,2024,235137.00000001775
ITD10,0,2024,217490.7851224321
ITD10,1,2024,17646.214877585648
ITD10,9,2024,235137.00000001775
ITD2,0,2024,226534.8276972616
ITD2,1,2024,18438.17230273985
ITD2,9,2024,244973.00000000148
ITD20,0,2024,226534.8276972616
ITD20,1,2024,18438.17230273985
ITD20,9,2024,244973.00000000148
ITD3,0,2024,2078057.8991194088
ITD3,1,2024,128069.10091473036
ITD3,9,2024,2206127.000034139
ITD31,0,2024,393492.105045598
ITD31,1,2024,24948.89495460965
ITD31,9,2024,418441.0000002076
ITD32,0,2024,361270.648102924
ITD32,1,2024,22375.35189710876
ITD32,9,2024,383646.0000000327
ITD33,0,2024,86318.60411201957
ITD33,1,2024,5344.395888398728
ITD33,9,2024,91663.00000041832
ITD34,0,2024,375332.79312039097
ITD34,1,2024,20939.206879617213
ITD34,9,2024,396272.0000000082
ITD35,0,2024,365194.3375410813
ITD35,1,2024,20480.662460980504
ITD35,9,2024,385675.0000020618
ITD36,0,2024,397067.84653028817
ITD36,1,2024,28321.15350087768
ITD36,9,2024,425389.0000311659
ITD37,0,2024,99381.56466710648
ITD37,1,2024,5659.435333137847
ITD37,9,2024,105041.00000024433
ITD4,0,2024,515262.37882533314
ITD4,1,2024,35951.62117529964
ITD4,9,2024,551214.0000006328
ITD41,0,2024,131114.32337018926
ITD41,1,2024,9554.676629817326
ITD41,9,2024,140669.00000000658
ITD42,0,2024,224174.95242778576
ITD42,1,2024,16226.04757222874
ITD42,9,2024,240401.00000001452
ITD43,0,2024,59487.06171305811
ITD43,1,2024,3367.938287553555
ITD43,9,2024,62855.00000061166
ITD44,0,2024,100486.04131429998
ITD44,1,2024,6802.95868570002
ITD44,9,2024,107289.0
ITD5,0,2024,1917124.0629837315
ITD5,1,2024,118122.93706175363
ITD5,9,2024,2035247.0000454849
ITD51,0,2024,122355.8176124497
ITD51,1,2024,7067.182387595265
ITD51,9,2024,129423.00000004497
ITD52,0,2024,192962.6543044908
ITD52,1,2024,12592.345705279966
ITD52,9,2024,205555.0000097708
ITD53,0,2024,222975.5557140632
ITD53,1,2024,14455.444285938956
ITD53,9,2024,237431.00000000212
ITD54,0,2024,300229.7631731701
ITD54,1,2024,18473.23682749338
ITD54,9,2024,318703.0000006636
ITD55,0,2024,441402.8112034816
ITD55,1,2024,29224.188801314107
ITD55,9,2024,470627.0000047957
ITD56,0,2024,150043.52956671533
ITD56,1,2024,8888.470455687144
ITD56,9,2024,158932.00002240247
ITD57,0,2024,168042.8850344149
ITD57,1,2024,9396.114970227389
ITD57,9,2024,177439.0000046423
ITD58,0,2024,169771.53909234545
ITD58,1,2024,9748.460907654868
ITD58,9,2024,179520.0000000003
ITD59,0,2024,149339.50728260016
ITD59,1,2024,8277.492720562572
ITD59,9,2024,157617.00000316274
ITDA,0,2024,444025.61281969375
ITDA,1,2024,36084.3871803255
ITDA,9,2024,480110.00000001927
ITE,0,2024,5122025.255719411
ITE,1,2024,283438.7443831074
ITE,9,2024,5405464.000102519
ITE1,0,2024,1604565.735795898
ITE1,1,2024,91251.26422284188
ITE1,9,2024,1695817.0000187398
ITE11,0,2024,83846.85343430276
ITE11,1,2024,3557.1465657105955
ITE11,9,2024,87404.00000001336
ITE12,0,2024,170563.01236100352
ITE12,1,2024,7165.9876395911615
ITE12,9,2024,177729.00000059468
ITE13,0,2024,127056.9947725436
ITE13,1,2024,7298.005227601683
ITE13,9,2024,134355.0000001453
ITE14,0,2024,434156.3925636294
ITE14,1,2024,26554.60744107324
ITE14,9,2024,460711.00000470266
ITE15,0,2024,112646.69002528508
ITE15,1,2024,5583.309979743864
ITE15,9,2024,118230.00000502894
ITE16,0,2024,144045.6419860027
ITE16,1,2024,8337.358016826283
ITE16,9,2024,152383.00000282898
ITE17,0,2024,180074.94906059606
ITE17,1,2024,11496.050940783947
ITE17,9,2024,191571.00000138
ITE18,0,2024,143823.34922660753
ITE18,1,2024,9080.650773813615
ITE18,9,2024,152904.00000042116
ITE19,0,2024,113001.33875834028
ITE19,1,2024,6943.661241801319
ITE19,9,2024,119945.0000001416
ITE1A,0,2024,95350.51360758708
ITE1A,1,2024,5234.486395896178
ITE1A,9,2024,100585.00000348326
ITE2,0,2024,374672.6769659461
ITE2,1,2024,21129.323054562497
ITE2,9,2024,395802.0000205086
ITE21,0,2024,278528.45027299883
ITE21,1,2024,16061.549742991772
ITE21,9,2024,294590.0000159906
ITE22,0,2024,96144.22669294728
ITE22,1,2024,5067.773311570727
ITE22,9,2024,101212.000004518
ITE3,0,2024,642130.160697951
ITE3,1,2024,37540.839306500544
ITE3,9,2024,679671.0000044515
ITE31,0,2024,150947.47180780958
ITE31,1,2024,8561.528193634862
ITE31,9,2024,159509.00000144442
ITE32,0,2024,199317.3680701824
ITE32,1,2024,12903.631932388162
ITE32,9,2024,212221.0000025705
ITE33,0,2024,130161.62108544823
ITE33,1,2024,8268.378914625931
ITE33,9,2024,138430.0000000742
ITE34,0,2024,88398.31922136826
ITE34,1,2024,4467.680778677975
ITE34,9,2024,92866.00000004625
ITE4,0,2024,2500656.682259616
ITE4,1,2024,133517.3177992025
ITE4,9,2024,2634174.0000588186
ITE41,0,2024,134248.0054759202
ITE41,1,2024,6575.994552325543
ITE41,9,2024,140824.00002824573
ITE42,0,2024,64791.81209215782
ITE42,1,2024,3294.1879137201868
ITE42,9,2024,68086.00000587801
ITE43,0,2024,1853887.458914344
ITE43,1,2024,106599.54111034588
ITE43,9,2024,1960487.0000246896
ITE44,0,2024,244359.41509014755
ITE44,1,2024,9724.58490985564
ITE44,9,2024,254084.0000000032
ITE45,0,2024,203369.9906870467
ITE45,1,2024,7323.0093129552515
ITE45,9,2024,210693.00000000195
ITF,0,2024,5862002.61185794
ITF,1,2024,227087.3898686249
ITF,9,2024,6089090.001726565
ITF1,0,2024,551591.1277219489
ITF1,1,2024,29848.872283151864
ITF1,9,2024,581440.0000051007
ITF11,0,2024,122844.52421345896
ITF11,1,2024,6770.475786607974
ITF11,9,2024,129615.00000006694
ITF12,0,2024,130258.83741796318
ITF12,1,2024,6818.162584948069
ITF12,9,2024,137077.00000291126
ITF13,0,2024,136430.001777407
ITF13,1,2024,7881.998222795522
ITF13,9,2024,144312.0000002025
ITF14,0,2024,162057.76431311975
ITF14,1,2024,8378.2356888003
ITF14,9,2024,170436.00000192007
ITF2,0,2024,125387.41806619865
ITF2,1,2024,6229.581982028272
ITF2,9,2024,131617.0000482269
ITF21,0,2024,34181.226524683574
ITF21,1,2024,1551.7734841156996
ITF21,9,2024,35733.000008799274
ITF22,0,2024,91206.19154151509
ITF22,1,2024,4677.808497912572
ITF22,9,2024,95884.00003942764
ITF3,0,2024,2437817.287964241
ITF3,1,2024,84542.71222988125
ITF3,9,2024,2522360.000194122
ITF31,0,2024,391919.587521611
ITF31,1,2024,14331.4124784459
ITF31,9,2024,406251.0000000569
ITF32,0,2024,114491.98923386126
ITF32,1,2024,4358.010803039445
ITF32,9,2024,118850.0000369007
ITF33,0,2024,1297378.5492562354
ITF33,1,2024,41804.45083023828
ITF33,9,2024,1339183.0000864735
ITF34,0,2024,173520.7267293898
ITF34,1,2024,6770.273340784065
ITF34,9,2024,180291.00007017388
ITF35,0,2024,460506.4352231436
ITF35,1,2024,17278.56477737356
ITF35,9,2024,477785.0000005172
ITF4,0,2024,1714753.2346287817
ITF4,1,2024,65483.766757159545
ITF4,9,2024,1780237.0013859412
ITF41,0,2024,256464.89350843264
ITF41,1,2024,9171.106777583209
