area_code,year,housing_urban_development_support
ITE3,2017,139.5
ITE3,2018,143.5
ITE3,2019,148.15
ITE3,2020,150.35
ITE3,2021,161.3
ITE3,2022,157.75
ITE3,2023,164.0
ITE3,2024,156.1
ITE3,2025,152.8
ITE4,2004,159.4
ITE4,2005,169.5
ITE4,2006,170.05
ITE4,2007,171.7
ITE4,2008,189.35
ITE4,2009,179.55
ITE4,2010,181.8
ITE4,2011,179.5
ITE4,2012,172.8
ITE4,2013,183.9
ITE4,2014,173.65
ITE4,2015,169.75
ITE4,2016,174.75
ITE4,2017,159.85
ITE4,2018,163.85
ITE4,2019,163.85
ITE4,2020,144.0
ITE4,2021,161.2
ITE4,2022,166.8
ITE4,2023,166.55
ITE4,2024,167.35
ITE4,2025,185.0
ITF,2004,126.3
ITF,2005,138.25
ITF,2006,133.95
ITF,2007,137.35
ITF,2008,145.1
ITF,2009,137.7
ITF,2010,135.5
ITF,2011,140.9
ITF,2012,136.65
ITF,2013,131.6
ITF,2014,134.25
ITF,2015,134.3
ITF,2016,138.3
ITF,2017,131.9
ITF,2018,130.75
ITF,2019,136.95
ITF,2020,134.65
ITF,2021,140.95
ITF,2022,141.95
ITF,2023,143.1
ITF,2024,136.65
ITF,2025,152.85
ITF1,2004,136.1
ITF1,2005,138.65
ITF1,2006,140.65
ITF1,2007,139.45
ITF1,2008,149.05
ITF1,2009,146.15
ITF1,2010,139.35
ITF1,2011,149.8
ITF1,2012,143.1
ITF1,2013,135.5
ITF1,2014,125.45
ITF1,2015,116.1
ITF1,2016,138.0
ITF1,2017,128.4
ITF1,2018,125.15
ITF1,2019,137.5
ITF1,2020,147.6
ITF1,2021,136.5
ITF1,2022,142.15
ITF1,2023,147.05
ITF1,2024,129.0
ITF1,2025,156.25
ITF2,2004,109.2
ITF2,2005,127.55
ITF2,2006,129.1
ITF2,2007,131.85
ITF2,2008,134.6
ITF2,2009,125.55
ITF2,2010,116.65
ITF2,2011,119.4
ITF2,2012,115.35
ITF2,2013,128.75
ITF2,2014,111.35
ITF2,2015,114.45
ITF2,2016,129.7
ITF2,2017,112.7
ITF2,2018,125.25
ITF2,2019,115.95
ITF2,2020,120.65
ITF2,2021,129.95
ITF2,2022,133.65
ITF2,2023,135.2
ITF2,2024,130.75
ITF2,2025,135.9
ITF3,2004,128.35
ITF3,2005,142.75
ITF3,2006,140.2
ITF3,2007,143.65
ITF3,2008,149.9
ITF3,2009,141.45
ITF3,2010,144.55
ITF3,2011,156.3
ITF3,2012,152.9
ITF3,2013,146.4
ITF3,2014,148.2
ITF3,2015,144.8
ITF3,2016,146.95
ITF3,2017,145.85
ITF3,2018,145.2
ITF3,2019,151.8
ITF3,2020,137.85
ITF3,2021,152.55
ITF3,2022,155.2
ITF3,2023,153.1
ITF3,2024,148.65
ITF3,2025,166.3
ITF4,2004,129.5
ITF4,2005,135.35
ITF4,2006,132.5
ITF4,2007,139.9
ITF4,2008,149.65
ITF4,2009,142.15
ITF4,2010,133.3
ITF4,2011,132.25
