area_code,year,total_employees,startup_employees,startup_share
ITD35,2013,184153.96,12789.34,6.944917176910017
ITD35,2014,178954.1,12104.54,6.764047317161216
ITD35,2015,185441.55,19764.37,10.658005177372601
ITD35,2016,191839.4,20956.69,10.924080246289344
ITD35,2017,203181.96,16006.61,7.877968103073718
ITD36,2012,230205.69,14755.24,6.409589615269717
ITD36,2013,222468.12,13494.94,6.066010716501762
ITD36,2014,213110.75,14059.96,6.5974898028372575
ITD36,2015,223554.73,16746.33,7.490930744341666
ITD36,2016,231904.5,20155.5,8.69129318318532
ITD36,2017,241263.24,19726.21,8.176218639855785
ITD37,2012,39281.09,3975.37,10.120314889428986
ITD37,2013,36980.31,3410.1,9.22139376332973
ITD37,2014,36103.92,3436.94,9.519575713662118
ITD37,2015,35331.41,3299.26,9.338036608219145
ITD37,2016,34830.27,3470.91,9.965211294658353
ITD37,2017,36121.17,3748.34,10.377127872657503
ITD4,2012,257196.66,12544.49,4.877392264736253
ITD4,2013,250825.15,10933.53,4.359024603394038
ITD4,2014,248161.77,10680.86,4.303990900774121
ITD4,2015,246900.07,12160.08,4.925101884337254
ITD4,2016,253478.41,16400.02,6.469986931036849
ITD4,2017,263316.1,15829.67,6.0116605099346385
ITD41,2012,71685.36,3525.77,4.918396169036467
ITD41,2013,70357.4,3378.1,4.801342858036255
ITD41,2014,68519.52,2989.93,4.363617842039757
ITD41,2015,67041.53,3602.97,5.374235940021058
ITD41,2016,68352.24,4079.81,5.968802192876195
ITD41,2017,70337.3,3410.2,4.848352154546734
ITD42,2012,110553.23,5274.96,4.771420970694389
ITD42,2013,110217.16,4467.64,4.053488585624962
ITD42,2014,108283.4,4464.84,4.123291289338902
ITD42,2015,110291.54,4303.34,3.901786120676164
ITD42,2016,113699.8,6534.02,5.74672954569841
ITD42,2017,120324.72,7049.88,5.859045423085131
ITD43,2012,19714.03,1635.18,8.29449889241317
ITD43,2013,19532.11,1329.29,6.805665132952865
ITD43,2014,19168.41,1288.07,6.719754011939435
ITD43,2015,18340.89,1589.69,8.667463792651283
ITD43,2016,19265.65,2086.88,10.832128684991163
ITD43,2017,20579.76,2039.96,9.912457676863093
ITD44,2012,55244.04,2108.58,3.8168461249394507
ITD44,2013,50718.48,1758.5,3.4671780384585653
ITD44,2014,52190.44,1938.02,3.71336206401019
ITD44,2015,51226.11,2664.08,5.200629132292106
ITD44,2016,52160.72,3699.31,7.0921375318438855
ITD44,2017,52074.32,3329.63,6.393996119392438
ITD5,2012,1102045.82,74067.25,6.720886614315183
ITD5,2013,1090182.21,63145.95,5.792238161728946
ITD5,2014,1078990.26,61116.13,5.664196635102155
ITD5,2015,1082365.61,60751.77,5.612869573710864
ITD5,2016,1108493.29,91494.51,8.253952534074427
ITD5,2017,1144479.25,97645.51,8.531872465140806
ITD51,2012,56338.32,6006.45,10.661393523981545
ITD51,2013,54112.09,3347.05,6.185401450951165
ITD51,2014,52163.02,2986.08,5.724515183361699
ITD51,2015,51247.64,3054.05,5.959396374154986
ITD51,2016,53257.79,3286.26,6.170477595859686
ITD51,2017,55198.26,3641.44,6.597019543731994
ITD52,2012,116451.06,6571.02,5.642730946373524
ITD52,2013,114234.37,4954.97,4.337547447410092
ITD52,2014,114730.64,5249.44,4.57544732601509
ITD52,2015,113117.1,5153.06,4.555509290814563
ITD52,2016,116787.7,7394.14,6.331266049421301
ITD52,2017,119008.15,9120.31,7.663601190338645
ITD53,2012,155782.13,9425.06,6.050154789897917
ITD53,2013,153282.66,8141.06,5.311142173550485
ITD53,2014,150729.41,7806.84,5.179374084991111
ITD53,2015,151818.71,7827.48,5.1558072124311956
ITD53,2016,152486.32,8483.44,5.563410540696372
ITD53,2017,156253.04,8428.89,5.39438464685231
ITD54,2012,190210.73,12512.76,6.578367056369533
ITD54,2013,189237.19,12062.14,6.3740853476000146
ITD54,2014,189407.26,11415.82,6.02712905513759
ITD54,2015,190115.16,11264.11,5.924887841663969
ITD54,2016,184243.38,13771.89,7.474835730868593
ITD54,2017,187371.75,14489.03,7.732771882634388
ITD55,2012,288703.92,17317.87,5.998488001132786
ITD55,2013,288610.71,15953.49,5.527684679477071
ITD55,2014,287196.0,16737.6,5.827936322232899
ITD55,2015,293206.99,15828.08,5.39826148073755
ITD55,2016,312127.38,37520.08,12.02075896065254
ITD55,2017,323977.9,39797.18,12.283918131452792
ITD56,2012,52271.11,3201.2,6.1242242607819115
ITD56,2013,50679.21,2964.28,5.849104593382573
ITD56,2014,48412.87,3129.59,6.464376104948953
ITD56,2015,48377.8,3180.32,6.573924403342028
ITD56,2016,48786.61,3684.1,7.551457254357291
ITD56,2017,50611.49,3602.3,7.117553741255198
ITD57,2012,80037.6,6268.9,7.8324437514368235
ITD57,2013,77428.98,5296.67,6.840681615591475
ITD57,2014,76933.91,3900.43,5.069845013726717
ITD57,2015,76711.52,4000.44,5.214914265810402
ITD57,2016,78732.94,4815.31,6.116004305186622
ITD57,2017,82451.85,5108.97,6.1963072993510755
ITD58,2012,93154.7,6270.25,6.731007667890079
ITD58,2013,94772.94,4511.19,4.7599979487815824
ITD58,2014,91619.89,4012.17,4.379147366363352
ITD58,2015,91812.2,4629.24,5.042075018352681
ITD58,2016,93938.43,5166.82,5.500219665157274
ITD58,2017,96024.87,5600.2,5.832030806185939
ITD59,2012,69096.25,6493.74,9.39810771206831
ITD59,2013,67824.06,5915.1,8.72124140017569
ITD59,2014,67797.26,5878.16,8.670202896105241
ITD59,2015,65958.49,5814.99,8.816135724150143
ITD59,2016,68132.74,7372.47,10.820744916467472
ITD59,2017,73581.94,7857.19,10.67815010041866
ITDA,2012,240102.07,11478.42,4.780641832867164
ITDA,2013,241873.0,9913.0,4.098431821658473
ITDA,2014,245630.66,10055.99,4.093947392398
ITDA,2015,245842.25,11334.51,4.610480907980626
ITDA,2016,255810.78,14150.44,5.531604258428828
ITDA,2017,269512.49,15020.02,5.573032997468875
ITE,2012,2586668.96,229738.41,8.881631687419329
ITE,2013,2541428.31,204130.38,8.03211246198796
ITE,2014,2520398.18,218999.03,8.689064757220226
ITE,2015,2527491.24,238414.84,9.43286513626057
ITE,2016,2595697.19,284447.03,10.958405745317313
ITE,2017,2654822.44,278397.72,10.486491141757865
ITE1,2012,707857.98,65978.28,9.320835798163921
ITE1,2013,698876.42,59723.36,8.545625276640468
ITE1,2014,690204.68,65062.37,9.426532720699605
ITE1,2015,694746.65,63268.71,9.106731209139332
ITE1,2016,716540.31,77579.21,10.826914957512997
ITE1,2017,742974.03,77788.56,10.469889506097541
ITE11,2012,26616.42,2623.32,9.856021207961103
ITE11,2013,25238.2,1872.69,7.420061652574272
ITE11,2014,24627.06,1985.02,8.060320639166834
ITE11,2015,24380.0,2084.44,8.549794913863822
ITE11,2016,25019.17,2781.51,11.117515089429428
ITE11,2017,26096.03,3108.85,11.913114753470163
ITE12,2012,69079.48,5650.85,8.180215021884937
ITE12,2013,65946.36,4814.38,7.3004484250533315
ITE12,2014,65166.95,4877.34,7.484376666393011
ITE12,2015,66081.31,5077.91,7.684336161011336
ITE12,2016,69678.41,5838.16,8.378721615490365
ITE12,2017,72122.31,5583.33,7.741474170752434
ITE13,2012,40750.13,3314.17,8.132906569868611
ITE13,2013,39527.22,3206.26,8.111524159806837
ITE13,2014,37443.83,3087.73,8.246298522346672
ITE13,2015,38556.59,3796.1,9.845528351962662
ITE13,2016,40069.31,4478.14,11.17598481231646
ITE13,2017,41380.03,4496.0,10.86514437036416
ITE14,2012,229296.19,22080.81,9.629819841315287
ITE14,2013,225399.67,21900.26,9.716189912789135
ITE14,2014,226082.99,23447.7,10.371280033053349
ITE14,2015,230597.59,19650.74,8.521658877701196
ITE14,2016,241212.42,25196.04,10.4455815334882
ITE14,2017,252095.81,24259.59,9.623162717381142
ITE15,2012,56799.89,10305.88,18.144190067973724
ITE15,2013,56199.01,10184.05,18.12140462972568
ITE15,2014,57487.53,11072.42,19.260559637890164
ITE15,2015,59782.85,12519.33,20.941340200408646
ITE15,2016,64412.77,14592.79,22.655119473980083
ITE15,2017,69138.75,15729.25,22.7502666738985
ITE16,2012,53161.28,5217.37,9.814229454219312
ITE16,2013,54278.16,3789.71,6.982016339536933
ITE16,2014,53016.13,4567.15,8.614642373934121
ITE16,2015,50275.44,4626.19,9.201689731606525
ITE16,2016,51307.4,8026.96,15.644838756202809
ITE16,2017,52485.17,7709.11,14.688168105390531
ITE17,2012,70896.59,5082.33,7.168652258169257
ITE17,2013,69971.92,4533.65,6.4792419587743195
ITE17,2014,68973.51,5802.17,8.412171571375735
ITE17,2015,68975.48,5667.0,8.215963121967402
ITE17,2016,70100.02,6219.41,8.87219433032972
ITE17,2017,71009.94,5190.31,7.309272476501177
ITE18,2012,64931.09,6067.34,9.34427560048661
ITE18,2013,63480.7,4735.25,7.459353787844179
ITE18,2014,62952.97,4690.92,7.451467341413758
ITE18,2015,62062.59,4035.19,6.50180728841642
ITE18,2016,58460.49,4527.82,7.745094165307201
ITE18,2017,59854.32,4969.28,8.302291296601481
ITE19,2012,69658.2,3003.0,4.311050242469659
ITE19,2013,73605.96,2654.5,3.6063655714836136
ITE19,2014,70009.44,3341.91,4.7735134004785635
ITE19,2015,69529.72,3439.35,4.946589746082682
ITE19,2016,70928.51,3226.86,4.5494540911687
ITE19,2017,73262.41,3675.0,5.016215000298243
ITE1A,2012,26668.71,2633.21,9.873780921536888
ITE1A,2013,25229.22,2032.61,8.056570912616403
ITE1A,2014,24444.27,2190.01,8.95919575426061
ITE1A,2015,24505.08,2372.46,9.681502774118671
ITE1A,2016,25351.81,2691.52,10.61667786244848
ITE1A,2017,25529.26,3067.84,12.016956229831967
ITE2,2012,160765.09,12891.98,8.019141469083866
ITE2,2013,155206.21,9930.71,6.398397332168602
ITE2,2014,148251.7,10844.73,7.315079692172163
ITE2,2015,146293.93,10318.87,7.053518898562642
ITE2,2016,149395.23,11820.82,7.912448074814704
ITE2,2017,153768.64,11100.42,7.218910175702925
ITE21,2012,124174.44,10391.36,8.368356644088752
ITE21,2013,120828.13,7660.47,6.339972322670226
ITE21,2014,115558.35,8288.07,7.172194826250114
ITE21,2015,114410.04,7804.19,6.821245757802375
ITE21,2016,117152.86,9178.55,7.834678555862827
ITE21,2017,120794.29,8627.73,7.142498209145481
ITE22,2012,36590.65,2500.62,6.834040936687377
ITE22,2013,34378.08,2270.24,6.603742850095176
ITE22,2014,32693.35,2556.66,7.820122440802181
ITE22,2015,31883.89,2514.68,7.886992459201182
ITE22,2016,32242.37,2642.27,8.195024125087578
ITE22,2017,32974.35,2472.69,7.4988286349844655
ITE3,2012,305460.28,23872.48,7.815248516108214
ITE3,2013,292620.47,20776.57,7.100176552925365
ITE3,2014,282164.28,21671.1,7.680313043167618
ITE3,2015,277289.06,21265.54,7.66908726943645
ITE3,2016,275416.24,23921.01,8.685402865132426
ITE3,2017,285961.15,25247.14,8.828870635049551
ITE31,2012,73664.5,6519.77,8.850626828390881
ITE31,2013,69093.36,5630.94,8.149755634984317
ITE31,2014,66701.83,5569.63,8.350040770995339
ITE31,2015,66348.97,5070.31,7.641882006608393
