area_code,year,public_transportation_usage
079023,2008,42.629437456
077014,2008,27.72201669
094023,2008,29.376663913
109006,2008,31.565739946
110002,2008,5.1743268041
039014,2008,40.363947832
040012,2008,48.343157594
042002,2008,127.1041082
023091,2008,138.46615769
041044,2008,20.289314543
078045,2008,88.922078295
001272,2008,199.88024796
105010,2008,2.4469107751
004078,2008,46.200905865
013075,2008,119.50257085
093033,2008,48.870122762
060038,2008,10.611398964
058091,2008,537.1923981
002158,2008,10.922396374
057059,2008,100.91213486
059011,2008,8.2101453325
110002,2009,5.2245714468
059011,2009,8.194739588
057059,2009,102.26963137
058091,2009,533.8913046
060038,2009,9.7539761431
002158,2009,12.525652068
107003,2009,1.6724645438
001272,2009,202.48982189
105010,2009,2.4561403509
013075,2009,112.70774496
004078,2009,53.494781548
093033,2009,46.663102124
094023,2009,29.226413371
025006,2009,91.429977984
039014,2009,40.579858098
079023,2009,59.500805584
040012,2009,46.62942017
077014,2009,25.375294653
078045,2009,84.792719339
041044,2009,26.550826473
042002,2009,121.25063549
023091,2009,143.48023849
026086,2009,112.87359957
092009,2009,254.13049566
027042,2009,628.58315508
037006,2009,249.1637462
038008,2009,60.074750122
080063,2009,39.087421765
095038,2009,4.0598754145
024116,2009,67.35715339
076063,2009,19.71563981
007003,2009,45.220320596
107009,2009,3.583775272
096004,2009,17.996008158
011015,2009,144.85925042
105018,2009,9.0832474951
043023,2009,63.614592295
075035,2009,16.993105775
081021,2009,35.424678295
008031,2009,23.73859064
106025,2009,0.0
082053,2009,45.913612474
044007,2009,24.877607234
097042,2009,66.240033571
098031,2009,24.033688247
021008,2009,141.03601978
022205,2009,192.75115671
073027,2009,69.749481477
074001,2009,17.366490921
045010,2009,14.420629984
046017,2009,24.8658382
072006,2009,76.051726909
047014,2009,54.816270562
019036,2009,24.841711933
091051,2009,30.19821007
028060,2009,147.931988
089017,2009,16.945664936
083048,2009,40.864173411
036023,2009,41.992650464
099014,2009,86.748425306
020030,2009,89.469492455
071024,2009,52.253770436
048017,2009,231.68427358
069022,2009,91.160879693
070006,2009,66.533599468
049009,2009,72.14832353
050026,2009,111.79491872
068028,2009,73.129500496
017029,2009,175.2697
029041,2009,14.424463891
030129,2009,100.01511259
088009,2009,7.5297081211
034027,2009,166.10332119
084001,2009,7.4372063149
035033,2009,73.281489641
018110,2009,105.25201485
100005,2009,48.605901223
110001,2009,8.3316143509
005005,2009,46.849373049
006003,2009,42.562025263
108033,2009,44.888294039
012133,2009,75.016180439
104025,2009,2.7380910591
102047,2009,4.8053392659
051002,2009,45.791286544
067041,2009,43.719721139
032006,2009,340.28778379
085004,2009,11.617100372
086009,2009,42.112776588
033032,2009,80.825569168
090064,2009,67.924441444
052032,2009,250.89110552
065116,2009,84.763002645
066049,2009,44.754399934
053011,2009,17.423012065
103072,2009,57.793260664
016024,2009,276.50236902
101010,2009,9.2710475631
054039,2009,147.99592616
064008,2009,61.753532362
055032,2009,40.559540124
009056,2009,66.992390869
010025,2009,259.84731149
106015,2009,0.0
031007,2009,27.048063826
087015,2009,81.089754417
014061,2009,5.958781362
104017,2009,55.224499194
015146,2009,702.2664413
063049,2009,216.87417374
056059,2009,30.338594684
061022,2009,35.18276514
109006,2009,30.53213527
003106,2009,72.550669584
062008,2009,38.596603755
110009,2009,13.001485884
IT,2009,226.7069851
003106,2010,87.035011725
060038,2010,16.417399956
057059,2010,82.11063901
010025,2010,260.92512475
107003,2010,1.6782747336
009056,2010,72.16486601
002158,2010,12.986183552
058091,2010,529.59299203
032006,2010,340.44830657
085004,2010,9.6570262333
033032,2010,75.631517342
086009,2010,37.267303316
090064,2010,68.292570798
087015,2010,81.504255164
031007,2010,25.634595559
088009,2010,7.7510946721
083048,2010,47.609334792
036023,2010,42.90643515
107009,2010,3.5943796972
081021,2010,35.660692545
082053,2010,54.575000991
026086,2010,106.05096506
106025,2010,0.0
008031,2010,24.35695291
091051,2010,36.505580296
028060,2010,149.93901968
089017,2010,16.961610222
035033,2010,71.126585427
084001,2010,8.1106426839
034027,2010,164.1515585
030129,2010,102.20730813
029041,2010,14.107195623
092009,2010,259.21471163
039014,2010,42.378509668
040012,2010,44.740090872
095038,2010,4.6750089604
106015,2010,0.0
011015,2010,147.05343448
108033,2010,41.955808841
007003,2010,48.996820055
022205,2010,192.79665587
075035,2010,20.549275735
021008,2010,146.98499739
098031,2010,23.813562197
043023,2010,47.779030702
097042,2010,66.211354987
076063,2010,15.871044113
096004,2010,20.058184045
023091,2010,146.30260068
025006,2010,90.033735335
094023,2010,29.311164972
079023,2010,55.110338687
042002,2010,116.46668418
041044,2010,26.826826827
078045,2010,60.80766892
077014,2010,24.427229273
024116,2010,56.714057984
038008,2010,65.377900095
080063,2010,39.419872664
093033,2010,42.743413461
037006,2010,249.22597145
027042,2010,647.82299676
073027,2010,66.726242122
044007,2010,23.033867013
018110,2010,105.06864522
100005,2010,44.12914311
005005,2010,48.581774291
110001,2010,8.7576027816
012133,2010,72.585038594
104025,2010,2.6623695089
068028,2010,77.923449758
006003,2010,41.529881321
065116,2010,89.206846941
101010,2010,11.364558812
016024,2010,281.46651513
105018,2010,9.5427803771
064008,2010,31.528298376
104017,2010,52.136759841
054039,2010,146.53143629
015146,2010,702.28624737
013075,2010,114.73761576
062008,2010,37.841840102
110009,2010,12.987615381
IT,2010,227.58339031
109006,2010,14.008563726
004078,2010,55.78441778
014061,2010,5.0116341507
055032,2010,39.93647676
110002,2010,5.5370515731
059011,2010,8.3299778538
105010,2010,4.2320578381
001272,2010,209.67464109
056059,2010,42.243827576
061022,2010,35.243578501
063049,2010,217.350344
102047,2010,4.7882245145
099014,2010,85.778685935
020030,2010,90.533960551
048017,2010,239.99740605
071024,2010,52.337867101
049009,2010,74.370947548
050026,2010,107.43665211
070006,2010,66.730780554
