area_code,frequency,year,population,sex,age_group,marital_status
ITE34,A,2021,45622,1,TOTAL,1
ITE34,A,2022,45717,1,TOTAL,1
ITE34,A,2023,45790,1,TOTAL,1
ITE34,A,2024,46060,1,TOTAL,1
ITE34,A,2025,46388,1,TOTAL,1
ITE4,A,2019,1328701,1,TOTAL,1
ITE4,A,2020,1332902,1,TOTAL,1
ITE4,A,2021,1333032,1,TOTAL,1
ITE4,A,2022,1346374,1,TOTAL,1
ITE4,A,2023,1362061,1,TOTAL,1
ITE4,A,2024,1370947,1,TOTAL,1
ITE4,A,2025,1380491,1,TOTAL,1
ITE41,A,2019,69010,1,TOTAL,1
ITE41,A,2020,68991,1,TOTAL,1
ITE41,A,2021,68890,1,TOTAL,1
ITE41,A,2022,69631,1,TOTAL,1
ITE41,A,2023,70239,1,TOTAL,1
ITE41,A,2024,70881,1,TOTAL,1
ITE41,A,2025,71653,1,TOTAL,1
ITE42,A,2019,34377,1,TOTAL,1
