area_code,year,healthcare_worker_density
ITC,2017,1129.0
ITC,2017,4153.0
ITC,2017,1790.0
ITC,2017,2363.0
ITC,2017,19174.0
ITC,2017,48087.0
ITC,2017,2343.0
ITC,2017,60513.0
ITC,2017,1079.0
ITC,2017,2.13
ITC,2017,2.09
ITC,2017,8.55
ITC,2017,0.52
ITC,2017,7.76
ITC,2017,1.19
ITC,2017,0.81
ITC,2017,2.64
ITC,2017,6.57
ITC,2017,1.13
ITC,2017,56.87
ITC,2017,0.83
ITC,2017,1.5
ITC,2017,17.06
ITC,2017,0.71
ITC,2017,2.59
ITC,2017,1.12
ITC,2017,1.48
ITC,2017,11.97
ITC,2017,30.03
ITC,2017,1.46
ITC,2017,37.79
ITC,2017,0.67
ITC,2018,3439.0
ITC,2018,3381.0
ITC,2018,13967.0
ITC,2018,877.0
ITC,2018,12457.0
ITC,2018,1997.0
ITC,2018,1278.0
ITC,2018,4350.0
ITC,2018,10460.0
ITC,2018,1784.0
ITC,2018,90338.0
ITC,2018,1344.0
ITC,2018,2387.0
ITC,2018,27243.0
ITC,2018,1107.0
ITC,2018,4026.0
ITC,2018,1774.0
ITC,2018,2252.0
ITC,2018,20611.0
ITC,2018,47962.0
ITC,2018,2260.0
ITC,2018,60419.0
ITC,2018,1088.0
ITC,2018,2.15
ITC,2018,2.11
ITC,2018,8.73
ITC,2018,0.55
ITC,2018,7.78
ITC,2018,1.25
ITC,2018,0.8
ITC,2018,2.72
ITC,2018,6.54
ITC,2018,1.11
ITC,2018,56.46
ITC,2018,0.84
ITC,2018,1.49
ITC,2018,17.03
ITC,2018,0.69
ITC,2018,2.52
ITC,2018,1.11
ITC,2018,1.41
ITC,2018,12.88
ITC,2018,29.97
ITC,2018,1.41
ITC,2018,37.76
ITC,2018,0.68
ITC,2019,3531.0
ITC,2019,3486.0
ITC,2019,14370.0
ITC,2019,878.0
ITC,2019,12265.0
ITC,2019,1999.0
ITC,2019,1308.0
ITC,2019,4375.0
ITC,2019,10266.0
ITC,2019,1836.0
ITC,2019,93828.0
ITC,2019,1340.0
ITC,2019,2411.0
ITC,2019,27530.0
ITC,2019,1127.0
ITC,2019,4019.0
ITC,2019,1747.0
ITC,2019,2272.0
ITC,2019,20085.0
ITC,2019,48621.0
ITC,2019,2349.0
ITC,2019,60886.0
ITC,2019,1078.0
ITC,2019,2.21
ITC,2019,2.18
ITC,2019,8.98
ITC,2019,0.55
ITC,2019,7.67
ITC,2019,1.25
ITC,2019,0.82
ITC,2019,2.74
ITC,2019,6.42
ITC,2019,1.15
ITC,2019,58.67
ITC,2019,0.84
